French,Fon
Je n'ai pas besoin de bananes.,Un ɖò kwékwé bá ná xɔ́ wɛ̀ ă
Attention !,Xwe sɔ̀ !
Cette affaire lui a causé beaucoup de soucis.,Xó ɔ́ gbà tamɛ n’í
dégager une odeur,hwε̆n kpɔ́n
Il a mangé une chose interdite.,E ɖù nù vɛ́ mɛ
Il aime autant le vin que la bière ,De e yi wan nu vεεn gbɔn mɔ jε e lε yi wan nu bia gbɔn.
Il avait l'ait inquiet.,E ɖi mɛ ɖo nu lin wɛ ɖɔhun
"Je viens au Bénin pour deux ans, et ensuite, je retourne aux USA",Un na blo xwe we ɖo Bεnεε kpo na lε kɔ ɖo yovotomε.
Les gens de la maison sont réveillés.,Xwé fɔ́n
bouchon de réservoir de voiture,mɔ̆to nusú
Je l’ai battu à la course.,Un ɖù ɖò jĭ tɔ̀n ɖo wezun mɛ̀
On finit par se rendre à l’aéroport.,Mi wa yi jɔhɔnmɛhunɖotɛn
Jeux violents.,Ayihun gidigidi
Il est parti à l’aventure.,É yì gbèjí
échouer dans une entreprise,klέn afɔnyanyà
Nous partirons au lever du jour.,Mì ná yì wunɖòkínkɛ́nwɛ̀
Tu peux sortir,A hεn a na tɔn.
Koku apportera le sac au marché ,Kɔku na sɔ saki ɔ yi aximε.
Le soleil baisse.,Hwè jɛ̀ dò
être terrible,dɔ̀n nylăn dŏ - nylă hùn
L’enfant manque de vigueur.,Nyaví ɔ́ vɔ́
Ses cuisses ne battent pas la chamade.,Asakpaɖa tɔn nɔ xo gan a
Chaque salade coûte 100 F.,Salada ɖokpo kpɔwun εnε wε
Tu devrais lui parler parce que tu peux répondre à ses questions ,A ɖo na ɖɔ xo n'ε do a hεn ɔ a na yigbe nu nukanbyɔ tɔn lε.
"Je croyais que c'était Zinsu, or c'était Sagbo.",Un vɛ sin Zinsu wɛ sin adii Sagbo wɛ
bruine,fò - gbadεndὲn
On aligne des chiffres.,"Mi ɖo ""chiffres"" lɛ to wɛ"
C'est un homme honnête.,Ayiɖòwɛ̀nnánɔ́ wɛ̀
derrière moi,gùdó cè
Les agoutis agiles grimpent dans les arbres ,Xɔ alɔ jijɔlɔ nɔ lε nɔ fan àtín lε.
Le maïs s’est couché.,Agbadé ɔ́ yɔ kɔ̀
J'ai quarante-neuf ans.,Un ɖo xwe kanɖe tɛnnɛ
serpent,akpàca - ayìmὲnú - dàn - lyò
Kofi croit que Sagbo est arrivé.,Kofi ɖi ɖɔ Sagbo wa
Vous racontez un mensonge.,Mi ɖo adingban ɖɔ wɛ
Je voudrais me fiancer à toi.,Un jló ná zùn xɔ́ntɔ́n xá wè
Est-il possible à un homme d’être si méchant ?,Gbɛtɔ́ ná nyílán hún yi bà nɛ́ ɔ́ mɛ́ à ?
quadruple,énέ ɖó bŭ - we ɖó bŭ
Que fait-il pour nous communiquer cette vie ?,Nɛ̆ wɛ̀ nɔ bló gbɔ̀n bó ná dó ná gbɛ nɛ́ ɔ́ mĭ ?
Il est 2 h 40 ,Gan atɔn e kpo ceju wo we.
Il est effilé.,Nu tɔn xwíɖí
Je ne vais pas te retenir puisque tu es pressé.,Un na do e te a a ɖo a ɖo na hwlɛn do
La caserne a été détruite par l'armée.,Goxɔ ɔ nyi gbigba do kponɔ lɛ wu
Cette femme a rompu avec son mari sans crainte et rien n’est arrivé.,Nyɔ̀nú élɔ́ gbɛ́ asú tɔn fayikò bɔ̀ nù tí jɛ̀ ă
C'est pour faire joli.,E ná dó j'acɔ́ wú wɛ̀
"hǔn mɛɖe ɖo na van nukun dó mɛɖe ă. Mɔ dokpo ɔ, mɛ bi ɖo acɛ bo na se bo jlá nù é ɖo jijɛ wɛ ɖo to ɔ mɛ kpo togudo lɛ é kpo. E hɛn wlɛnwin ɖebu ɔ, é na ba bo do se na ","Gbɛtɔ bi ɖo acɛ bo na lin nù é do nuwu bo ka na ɖɔ xo : hǔn mɛɖe ɖo na van nukun dó mɛɖe ă. Mɔ dokpo ɔ, mɛ bi ɖo acɛ bo na se bo jlá nù é ɖo jijɛ wɛ ɖo to ɔ mɛ kpo togudo lɛ é kpo. E hɛn wlɛnwin ɖebu ɔ, é na ba bo do se na"
Ils ne doivent pas bavarder en classe.,Ye ɖo na ɖɔ xo ɖo wɛ xɔ mɛ ă
Trois choses sont mortelles,"Nu atɔn nyi ku, ye ɖie wiimi, vɛɛn, zo"
Ma voiture s’est enfoncée dans la boue.,Mɔ̌to ce yi bɔ̌
"Il fait beau, n’est-ce pas ?","Gbɛɔmɛ nyɔ, abi ?"
Il y avait beaucoup de princes dans sa famille.,Axɔvi gege ɖo hwεndo tɔn mε
Cela me prenait une heure ,Enε ɔ nɔ ɖu gan xixo dokpo nu mi d'ayi.
Le vent arrache les feuilles .,Jɔhɔn ɔ ɖo ama lε sun wε
On les recevrait parfaitement.,E na yi jonɔ etɔn ganji
majeur,alɔví gbεɖigà - alɔvígbεɖigà
De quoi as-tu besoin ?,Etɛ sin hu do a ɖo ?
Tu vas me donner quelque chose pour ce que tu me demandes.,A na kpá sìn nú mì
Je me suis réveillé,Un fɔn
Grand roi.,Xɔsu ɖaxo
causer de l'angoisse,myă nukún
Mais si la première poule a pondu le premier oeuf.,Bɔ nu koklosi nukɔntɔn ɔ wɛ ɖo azin nukɔntɔn ɔ
Je ne suis pas dispos.,Wù yá mì ă
"Sinon, en fait, ce sont toutes des personnes qui résident là maintenant.","Sinɔn an fɛti, ye mɛ bi ɖo finɛ din ɔ"
Le roi le reçut avec honneur.,Axɔ́sú yí ì kpódó yɛyí kpán
hémorragie,hunɖiɖi - hìndíɖí - hunsisa
"Je ne puis le faire, je ne puis disposer de moi (p. Ex. Une femme mariée).","Un sìgán wà mɔ̆ ă, mɛɖomɛkpá wɛ́ nú mì"
Il s'est caché pendant trois jours.,E sɔ́ éɖéé hwlá nú azăn'tɔ̀n
seau employé pour puiser,dotɔgannú - tɔkà
"Le kola « vi » se sépare en plusieurs cotylédons, le kola « ahowé » n'a qu'un seul cotylédon.","Vi wɛ nɔ ɖe xwɛ, ahowe nɔ ɖe xwɛ ă. "
Voilà mon frère.,Nɔví cé nɛ́
"Si Dieu te protège, tu réussiras parfaitement.","Ényí Măwŭ nyi kɔ́ wé ɔ́, a na bló nù élɔ́ ganjí"
Et elles se groupent pour insulter la personne ou bien elles vont se bagarrer avec les gens.,Bɔ ye nɔ kple bo nɔ zun mɛ ɔ kabi ye na xo xa mɛ ɔ
Lequel de ces fruits as-tu mangés ? ,Atinsinsεn ɖe tε a ɖu ɖo elɔ lε mε ?
Pour chercher un remède,Bo na ba amasin
Tu veux boire quelque chose ?,A ba na nu nuɖe à ?
Termine le mur pour ce soir,Fo do nu gbadanu din
reprendre,kɔ́ - lε̆ fɔ̀ - lε̆ sɔ́ - lε̆ wli
On ne trouve pas de manioc ici.,Ye nɔ mɔ fεnnyε ɖo fi a
Est-ce que tu lui fais confiance ? ,A do jiɖe do wutu tɔn à ?
Car il est le roi du monde.,Ðó é wɛ́ nyí gbɛ ɔ́ ‘xɔ́sú
Nous devons aimer nos parents.,Mi ɖo na yi wan nu mɛjitɔ mitɔn lɛ
Mais il (Monsieur) travaille correctement sur le pays,Dawe ɔ ka ɖo azɔn wa wɛ tawun ɖo to ɔ wu
J'écris.,Un ɖo nu wlan wɛ
Le gâteau sent bon.,Atá ɔ́́ nɔ́ hwɛ́n wàn glíglí
Je t’ai recommandé à Dieu.,Un zé wè d’álɔ mɛ nú Măwŭ
L'accident a fait deux morts et quinze blessés.,Mɛ we ku ɖo awovi ɔ mɛ bɔ mɛ afɔtɔn gble wu
J'ai pensé que les hôtels étaient très chers.,Un lin ɖɔ gbedutɛn lɛ nɔ vɛ axi
Je sors pour acheter un journal,Un ɖo tintɔn wε bo na yi xɔ xɔjlawema.
Nous étions groupés autour du maître.,Mi kple lɛlɛ do mɛsi ɔ
C’est fait autrement.,É cí vò
On demande à la princesse Ahwlikponuwa si elle se rend au marché ,E kanbyɔ Ahwlikpɔnuwa ɖɔ aximε wε xwe aji.
"Les enfants, fêtez bien","Vi lɛ, mi ɖu xwe ganji"
Tu peux ne pas te marier ,A sixu gɔn alɔma wli.
La foi est une vertu surnaturelle.,Nùɖíɖí ɔ́ hlɔ̀nhlɔ́n ɖé wɛ́ nyí bó hú găn jijɔ mĭtɔ̀n
Son enfant n’est pas bien et ils doivent aller à l’hôpital.,"E nyɔ́ nu vi tɔn a, bɔ é ɖo na yi dotóxwe"
du sel réduit en poudre,jɛ xayà
Saint Christophe est appelé Porte-Christ.,"Yɛhwe Klistɔ́fu ɔ́, é nɔ́ ylɔ́ ɛ́ ɖɔ­̀ Klístusɔ́tɔ́"
Qu'est-ce qui se passe ?,Ani ka ɖo jijɛ wɛ̀ ?
J’ai terminé mon travail.,Un bló azɔ ce vɔ̀
homme de coeur,dăwè măwì gbεtɔ́
se dessécher au feu,xú myɔ̀ - xú zò
Qu’ils louent le Seigneur !,Yé ni kpa Aklunɔ !
"II est tombé ""plac""",E j'ayi gbli
Une main crochue.,Alɔ xixa
mélanger de la terre ou du ciment,blŭ kɔ́
Mords dans la mangue.,Kàn amăga ɖù
Son pied est enflé.,Afɔ tɔn hlɔ́n
Depuis longtemps.,Sín tɛgbɛ ɔ́
J'ai agi méchamment contre mon prochain.,Un wà dànú dó nɔ̀zó cè
La viande est dure (élastique).,Làn ɔ́ dɛ̀
Mais une seule mauvaise a gâté toutes les bonnes.,Amɔ nyanya ɖokpo ɔ kpe hu bo hɛn ɖagbe lɛ bi gble
Les pommes sont mûres car elles tombent de l’arbre,Aslɔ lε mya ɖo ye ɖo ayi jε wε sin atin ɔ ji.
badine,bă - bàví - bàvú
Il tombe une pluie fine.,Gbadɛndɛn ɖò funfun wɛ̀
La maladie a changé (pas d'espoir de guérison),Azɔn huzu
Il est distrait.,E nɔ́ flín nŭ ă
Pour que j'ai plus d'esprit que toutes les autres bêtes de la brousse ,Bo nu ma ɖu ɖo kanlin gbεmε tɔn lε bi ji.
goîtreux,gbannɔ̀ - gεgεnɔ
Ce sera la paix.,Alăfía ná tíin
Elle m'a fait fermer la porte.,E ze mi su hɔn ɔ na
Va consulter le Fa.,Yi kan Fa
aller chercher la jeune épouse chez ses parents,gbé yawó
Je ne vois plus assez clair.,Un nɔ mɔ̀ nŭ wliwlì
Le vent casse tout,Jɔhon ɖo nu bi gba wε.
Il est très actif.,Wù y'ɛ́ ɖésú
Il a pris la hache pour couper l'arbre.,E sɔ́ asyɔ́ví bó ná dó gbò atín ná
Qu'est-ce que tu as cuisiné ?,Ani a ɖa ?
"Oui, j'ai vendu un peu.","Ɛɛn, un sa nu kpɛɖe"
parole incohérente,lὲló - gbòló
Celui-ci.,Mɛ elɔ
Je prendrai quelques jours de congé.,Un na yí gbɔjɛ nú azăn yɔywɛɖé
Je doute qu'il vienne.,Un ɖi ɖɔ̀ é ná wá ă
Cet orphelin reste replié sur lui-même.,Nɔcyɔ́vì élɔ́ nɔ sa xwexwè
Cette dame-jeanne contient dix litres.,Ajagwe élɔ́ nɔ́ hɛ̀n lĭtlì wŏ
Un homme comme il faut.,Gbɛtɔ́ titewungbè
Un train arrive,Pipan jawe
parvenir à leur plein développement et durcir (en parlant des feuilles),dŏ klisó
Merci pour la course (A quelqu’un qui a apporté une commission ou qui est venu vous voir de loin).,Kú dó zɔnlìn
C’est le Tout-Puissant qui en a ainsi disposé.,Ganhúnútɔ́ wɛ́ bló nyí mɔ̆
Moïse prit le sang et en aspergea l’autel.,Moyízi yí hùn ɔ́ bó hú nú vɔsákpé ɔ́
Il a la cataracte.,Sí ɖò nukún tɔ́n jí
Je descends la montagne.,Un jɛ te siso ɔ ji
Tu es plus grand que moi.,A wà ɖaxó mì
Ca a disparu.,E kɛ̀n
Il est passé ici doucement et est parti.,É wá gbɔ̀n fí káɖá bó dín
Il a refusé de le faire.,É gbɛ́ ɖɔ̀ émí kún ná bló ó
Ici-bas.,Ɖò gbɛ̀ dĕ
C’est lui qui est notre cuisinier.,Eyɛ wɛ nyi nuɖatɔ mitɔn
Il a craché du sang abondamment.,É tún hùn b’ɛ́ sa tɔ̀
Je n’ai pas de chance.,Un ɖo ta ɖagbe ya
bouton sur le corps,nùsέnɖòwŭ - nùsínsέn
Ils font un très grand bruit.,Yé ɖò zìngídí ɖú wɛ̀ gannyiì
Il arrive.,E jăwè
Grigri pour quelqu'un (faire un),Wa bo nu mε
C'est quand le tam-tam devient endiablé et agréable que le roi lève sa canne en signe de félicitations.,"Adanhun wε nɔ vivi, bɔ da kpo nɔ yi ji."
Poisson frit.,Hwe sisɔ
"La société veut les ignorer, mais ils sont bel et bien là.","Mi nɔ jlo na ɖe nukun sin ye wu, ye ka ɖo finɛ tɛgbɛ"
Il a fait un vent très fort hier.,Jɔhɔn gbagbàgúgú ɖé nyí sɔ̀
Mais je crois que Ted et Kelly vont échouer ,Amɔ un ɖi ɖɔ Ted kpodo Kelly kpo na j'ayi.
Il n'y a pas de sel dedans.,Jɛ ɖ'é mɛ̀ ă
Ce voleur tue.,Ajotɔ elɔ nɔ hu mɛ
se demander,lìn kpɔ́n - lìn tamε kpɔ́n
Le pays est plat.,Ayikúngban ɔ́ jɛ wɛ̀n
La lune est apparue.,Sun lín
Il est près de la case.,É ɖò xɔ ɔ́ kɔ̀n
Ah ! Que c’est bon !,E víví lóó !
"Les parties de la tête sont le front, les oreilles, les yeux, le nez, la bouche, les joues, le menton : ","Fi ta tɔn lε die nukɔn, to, nukun lε, awɔntin, gba."
Tu lui donnes du pain.,A ɖo wɔxuxu n'ε wε
Je crois que la dame était avant lui.,Un ɖi ɖɔ nawe ɔ ɖɔ finε jε nukɔn n'ε
As-tu de ses nouvelles ?,A sè wɛn tɔn à ?
laisser couler,jà - lùn
Blague à propos de quelqu’un (faire une),Do nubyaxa nu mε
"D’après le texte, comment se définit-il ?",Mɛ̀ nahún wɛ́ nyí bɔ̀ nuxíxá ɔ́ ɖɔ̀ ?
Les fruits mûrissent en automne,Atinsinsεn lε nɔ mya ɖo ji hwenu.
A mon époque.,Hwe ce nu
Quel peintre !,Sεnsisa tε ɖie !
Il habite à Hwègbo.,E nɔ nɔ̀ Hwɛgbó
T'es-tu représenté à l'examen ?,A lɛ̀ vɔ́ tɛ́nkpɔ́n ɔ́ yí à ?
redresser,blŏ n'í jlɔ̆ - glă - jlɔ̆ - jlɔ̆ dŏ - slɔ́
payer en partie,sà kpò
Les moissonneurs sont allongés à l’ombre d’un arbre,Jinukunyatɔ lε dlεn yeɖe ɖo yεtεn atin ɖe sa.
Salut pour la nuit.,Ku do zan
Ne t'en soucie pas.,Ma n’í vέ adɔ̀ wè ó
délicat,glíglí - lílílí - lyólyó
"Les fourmis noires se portèrent alors chez les termites rouges, leur livrèrent bataille, en exterminèrent et transportèrent les cadavres dans leur demeure","Azizεn wiwi lε be ye ɖe bo yi hannuhannu vɔvɔ lε gɔn, yetɔn ahwan ye, ye hu ye mε bi bo be ciɔ yetɔn lε wa xwegbe."
La mangue dégage une bonne odeur ,Amaga ɔ ɖo wan ɖagbe ɖe wε.
Le sucre est dans la voiture.,Sukle ɔ ɖo hun mɛ
"A la maison, il aide ses parents.","Ɖo xwe gbe ɔ, e nɔ do alɔ nu mɛjitɔ tɔn lɛ"
Il a posé le livre par terre.,É zé wèmá ɖɛ̀
devenir vaudoun,zùn vodún
L’oiseau siffle dans l’arbre ,Xεvi ɖɔ kukwui ɖo atin ɔ mε.
Ah ! Que c’est bon !,E víví lóó !
"Maintenant, je vais acheter du sel : ","Din ɔ, un na xɔ jε."
Nous sommes camarades.,Mì nyí hă
Mais en vain.,Amɔ nu yaya wɛ
Nous sommes à six chez nous,Mi mε aizεn
Ce n'est rien.,E nyí nùɖé ă
haricot de la petite saison sèche,fomεyikún - foyikún
J’ai besoin d’elle.,Nù tɔ́n hú dó mì
Il est là-bas,E ɖo dɔn
Les fleurs de l’arbre se sont répandues par terre.,Atín sɛ́ lɛ́ hlɛ́n
La fille a peur du chien,Vi ɔ ɖi xεsi nu cuku ɔ.
Bonjour ! Tu vas bien ?,A ɖò fínɛ́ à ?
J’aiguise les couteaux,Un ɖo jivi lε gan wε.
Cet enfant joue trop la comédie.,Nyaví élɔ́ nɔ́ vlɛ́ manahɛn dín
Mettez-vous à genoux.,Mi jɛ kpò
Je ne l'ai jamais vu.,Un mɔ ɛ̀ gbeɖé ă
Alors j'allais à pied.,Un ɖo yiyi wε kpodo afɔ kpo ɖayi.
Tant pis pour toi !,Acɔnkwín !
Ce qui ressemble à l'amour est toujours de l'amour.,Nuɖe ɖi wa nyinyi ɔ wa nyinyi wɛ tɛgbɛ
Au bord du fleuve,Ɖo tɔsisa to dɔn
Il refuse de danser.,E gbɛ́ we ɖù
Nous sommes bien portants.,Mí ɖo ganji
Le linge a été lavé à la rivière.,Avɔ nyi nyinya do tɔ to
Pourtant je trouve que le bois est une très jolie matière,Co bɔ un ka mɔ dɔ atin ɔ nu dagbe ɖe wε.
Etes-vous fils de la même mère ?,Nɔ ɖokpó ɔ́ ví wɛ́ nú mi à ?
siffler,kùn kpetè
Pourquoi aimes-tu te promener au bord du lac ?,Etɛ wutu a yi wan nu saɖiɖi ɖo tɔ to ?
faire de l'histoire,kpì tàn
As-tu compris ?,E byɔ́ tó mɛ̀ nú wé à ?
avoir des nausées,jigbɔ́ tɔ́ mε - xomɛ̀ nɔ sí tè
Le feu n'est pas du vin,Zo nyi atan ă
Quel langage tenez-vous là ?,Gbè tɛ́ nɛ́ ɖɔ́ wɛ́ mi ɖe nɛ́ ?
Les voyageurs sont descendus de l’autocar.,Tomɛnyitɔ lɛ jɛ te sin hun ɔ mɛ
Que suggérez-vous que je prenne ? ,Nu tε mi ba nu ma yi ?
C'est absolument vrai,Nugbo wɛ gee
Les choses sont en désordre.,Nù lɛ́ ɖò guduù
N’est-ce pas cela ?,Mɔ̌ wɛ̀ à cé ?
avoir du remords,ayì xò hùn xá mε
Ton mur a une fente.,Dò tówé dó xwì
Le perroquet danse sur le toit.,Alɛ ɔ ɖo we ɖu wɛ ɖo xɔ ta
C'est ouvert.,E ɖò nuvò
C'est très doux,E vivi ɖesu
Tu ne trouveras pas un fusil où mettre ta poudre.,A na mɔ tu ɖe mɛ kɔn ɖu do ă.
Cela m’a impressionné.,É yì lanmɛ nú mì
Je suis toujours de mauvaise humeur ,Hwebinu ɔ un nɔ ɖo ganji a.
Je n’en possède pas.,É ɖ’así cè ă
Un arbre barre le chemin.,Atín ɖé gbo ali ɔ́
Deux exercent une activité génératrice de revenus .,Mε we wε nɔ w'azɔ bo nɔ ɖo nukunnu
C’est mon propre enfant.,Vĭ cè jiji wɛ̀
Il a fait le pire des maux.,É dó nŭ nyanya bablí sìn
Comment va ton travail ?,Nɛ azɔ towe ɖe gbɔn ?
s'activer,jὲ hùn dŏ nŭ jĭ
Je viendrai certainement.,Un na wá géé
Qu'est-il arrivé pour que… ?,Etɛ́ wɛ́ jɛ́ bɔ̀… ?
Il m’a suivi.,E mlɛ́ xwé dó mì
J’ai péché contre toi.,Un hu hwɛ̀ dó wè
Je sens un frémissement annonciateur de fièvre.,Lanmɛ ce nɔ bló dɛɛ̀n
Le musicien joue de la musique ,Nuxotɔ ɖo nu xo wε.
Il s’est donné de la peine pour moi.,É xo kan cè
C'est un aéroport international.,Jomɛhun tin tota lɛ bi tɔn wɛ
"Tu m'as dit que tu serais à la bibliothèque, or tu n'y étais pas.","A ɖɔ nu mi ɖɔ a na ɖo wemaxixatɛn, a ka ɖo finɛ ă"
Il a eu un accident,Awovi wɛ xo e
J'ai aperçu un oiseau sur l'arbre.,Un mɔ̀ xɛ̀ ɖé sɛ́ dó ɖ'atín jí
Tu joues et tu gagnes,A nɔ xo bo nɔ ɖu.
Tu as travaillé tout ce temps-là ?,A w'azɔ nu ganxixo enε ɔ bi wε à ?
"Oui, je suis venu.","Ɛɛn, un wa"
aller s'installer au loin,jὲ zɔ̀
"Toi, sale type !","Hwi, nù dídá élɔ́ !"
Nous sommes de même père et de même mère ,Mi nyi tɔ ɖokpo ɔ nɔ ɖokpo ɔ.
Il est heureux.,É ɖo vuvo mɛ̀
à lui,éénɔ - n'í
J’ai une hernie.,Un jɛ̀ ahwlilwí
Te voilà bien parti pour être initié,Fa yiyi nu wa jεn a ɖe nε
venir rendre visite à quelqu'un en passant,wă ɖɔ̀ nŭ dŏ mε
Gloire à Dieu.,Jlɛjlɛ nú Măwŭ
La potasse est âpre.,Akánmú wlí ɖɛ̆
Que t’a-t-il répondu ?,Gbe tɛ́ wɛ́ é yí nú wè ?
Leur chambre est minuscule.,Xɔ yetɔn ɔ hwe
"C'est facile, je vais te montrer","E fa, na ze xlε nu we."
As-tu marché à pied ou es-tu venu à vélo ?,Afɔ wɛ a zɔn à alŏ kɛkɛ́ á dó à ?
Il me quitte,E ɖo jijo mi do wε
Je n’aime pas boire.,Un yi wan nu ahan ă
Tu as sauté dans l’eau à partir de quelle barque ?,A lɔn jε tɔ ɔ mε sin aklo ɖe tε mε ?
Il est passé ici doucement et est parti.,É wá gbɔ̀n fí káɖá bó dín
Je suis venu pour acheter.,Nù xɔ̀ gbé un wá
Qu’a fait Dossu au moment où les soldats sont venus l’arrêter ?,Ani wɛ̀ Dosu wà hwenu è sɔ́ja lɛ́ ny’ahwan wá wlíwlí í gbé é ?
Nous devons aider notre mère ,Mi ɖo na do alɔ nu nɔ mitɔn.
Ils manifestent.,Ye ɖo su xo wɛ
Le bébé sourit à ses parents et leur tend les bras.,Vi ɔ ko nu do mɛjitɔ tɔn lɛ bo kɛ alɔ nu ye
C'est ce que j'ai fait !,Nuɖe un blo ɔ nɛ !
C'est évident.,Gaan w'ɛ ɖè
Le chien entre dans sa niche ,Cuku ɔ ɖo goxɔ tɔn mε byɔ wε.
"Quand le Fa est au milieu de l'assemblée, le devin ne biaise pas : ","Fa nɔ ɖo agun mε, nu bokɔnɔ nɔ wa yε ă."
"On a lancé le crapaud par-dessus la palissade et il est tombé dans le puits. – Ici, la maison, là-bas, la maison.","E nyi bese gbɔn kpa ta b’ɛ jɛ dotɔ mɛ. – De xwe, dɔn xwe. "
Le maître gronde ses élèves .,Mεsi ɔ su xo ɖo azɔmεvi tɔn lε ji
Anne pleure.,Anne ɖo avi ya wε
Il nous bénit alors,E xo ɖε nu mi enε ɔ gudo ɔ
Moi aussi.,Nyɛ lɔ́
s'adresser à,kpàn tà
Quel âge pensez-vous que j'ai ?,Xwe nabi mi lin ɖɔ un ɖo ?
Leur enfant.,Vi yetɔn
C’est Dieu qui a créé les vaudous.,Măwŭ wɛ̀ ɖó vodún
Ils recherchent le voleur,Yĕ ɖo ajotɔ ɔ gbe nya wɛ
Le moment de se coucher.,Xɔ yi hwenu
Je suis allé remettre quelque chose à mon grand frère.,Un zé nuɖé yí jó nú fofó cè
II n'en a dit qu'une partie,E gbo ɖɔ
Il ma piqué rapidement avec une épingle.,É sɔ́ nyɛ̀ví mí nyɛ́wún
La foule s’est dispersée.,Agun ɔ́ kɛ̀n
Pouvez-vous conduire mon enfant à l'école ?,Mi sixu ze vi ce azɔmɛ a ?
Voici le maïs de l’an passé que nous mangeons.,Lĕxwlĕ gbadé ɖíè ɖu wɛ̀ mì ɖé è
Elle a refusé de préparer la pâte.,E gbɛ́ wɔ̀ má ɖà
Je monte la montagne,Un xa so ji
Aie pitié de moi.,Kú nù blá wŭ cè
Il leur interdit d’en manger.,É gbɛ́ nú yĕ ɖɔ̀ yè má ɖú ó
"Kofi, vas-tu bien ? : ","Kofi, a ɖo ɖagbe a ?"
C'est ma part d'héritage.,Xù kanta ce wɛ̀
Tu es mal chanceux.,Ta towe kú
Je vais aller rapidement faire vite le travail qui reste pour partir.,Un na yá wù yí w’àzɔ̀ é kpó ɔ́ xlaxla bo ná yì
Voici les tomates invendues qui restent.,Timáti ɖĕ kpo ta é ɖíè
Cela t'intéresse-t-il ?,A yí wàn ná à ?
Je ne puis fixer le jour de peur de mentir.,"Un sìxú ná ɖ’ázăn ă, un táá ɖó nùvú"
Enfant à la mamelle.,Vĭ ɖ’ànɔ̀nu
Tu peux prendre le taxi-moto.,A sixu do zemijan
Nous finissons nos devoirs.,Mi ɖo azɔ mitɔn lɛ fo wɛ
Est-ce que tu m'aimes ?,A yi wan nu mi à ?
"Oui, je comprends.","Ɛɛn, un mɔ nu jɛ mɛ"
"C'est difficile, c’est dur",E vε
Son dos le fait souffrir.,Nɛgbe tɔn ɖo ya do n'ɛ wɛ
Je crois que je me suis trompé,Un ɖi ɖɔ un bu ali.
J’ai manqué le taxi.,Un gbɔ̀ hŭn
"L'été prochain, je serai maître nageur au pays de Galles.","Johɔn hwenu ɖevo ɔ, un na nyi tɔlilɛgan ɖo Galles sin to mɛ"
Tâche de le faire.,Tέn kpɔ́n bó bló
Quel jour est-ce aujourd'hui ?,Gbe tɛ gbe wɛ nyi egbe ?
Tendre une corde.,Dɛn kan
Il est venu jusqu’ici.,É wá káká fí
Le bord du fleuve.,Tɔ ɔ tò
Je ne suis pas tranquille.,Hùn cé ɖ’agà
L’eau passe sous le pont à gros bouillon.,Sin nɔ din gbɔ̀n anà ɔ́ hlolò
La caserne a été détruite par l'armée,Goxɔ ɔ nyi gbigba do kponɔ lε wu
Les crapauds vivent dans des lieux humides,Agolobese lε nɔ nɔ fi fifa lε.
Sais-tu ce qu'on fait au catéchisme ?,A tuùn nŭ è e nɔ wa ɖò katekízu ɔ́ à ?
"Une vache s’éloigne de son troupeau, le chien lui donne la chasse : ","Nyibusi ɖokpo yi zɔ ɖo gbε tɔn lε, cuku ɔ jε nyinyε ji."
Il a les gencives saignantes.,É ɖò nuslú jɛ́ wɛ̀
"Remi pleura amèrement mais l'instituteur le présentant devant les autres élèves, lui dit…",Remi ya vi tawun amɔ mɛsi tɔn kple yi azɔmɛ vi ɖe lɛ sin nukɔn bo ɖɔ n'ɛ ɖɔ…
Je vois trop peu de gens en ce moment.,Un nɔ mɔ mɛ kpɛɖe hwe elɔ nu
II est très bien,E ɖo ganji
Il fait clair.,Gbɛmɛ zàwĕ
mettre la main dans quelque chose,dŏ alɔ̀ nùɖé mὲ - xwè alɔ̀ dŏ - xwè alɔ̀ dŏ
Je tiens à te voir.,Un ɖó ná mɔ́ wè dandàn
dard de la guêpe,gbɔ̀nvὲ sέ
Il m’a ajouté un supplément de gari.,E xú galí ɔ́ nú mì
Ils ont mangé.,Ye ɖu nu
Et prendras de l’eau dans la marmite à pâte,Bo na wun sin ɖo wɔɖazɛn ɔ mɛ
eau claire,sin zinzin
tout au long de la semaine,vodúngbe gblamὲ
Un homme comme il faut.,Gbɛtɔ́ titewungbè
"Si vous avez chaud, déshabillez-vous : ","Nu zozo hin mi o, mi ɖe awu."
Vous n'avez pas besoin de téléphoner.,Mi do alokan titɛ sin hu do a
La fermière jette du grain aux poules et aux canards .,Kanlinnyitɔ ɔ ɖo ji nukun nyi nu koklosi kpodo kpakpa tɔn lε kpo wε
Je te défends de dire cela.,"Un gbɛ nu we, ma ɖɔ mɔ o"
C’est complètement froid.,É fá tɔɔ̀
Ça ne va pas mal du tout,E nyla ɖebu a
Il se fâche pour rien.,E nɔ́ sin xomɛ dó wùvɔ́
"Mon enfant, sais-tu d'où vient cet oeuf ?","Vi ce, a tuun fiɖe azin ɔ gosin ɔ a ?"
Ces nouveaux élèves.,Azɔmɛvi elɔ lɛ
La pluie fine tombe abondamment.,Jì ɔ́ ɖò funfun wɛ̀ wɔwɔ̀
La terre trembla.,Ayikúngban húnhún
Il n’est pas franc.,E hízí nŭ
Le fardeau est pesant,Agban kpikpεn wε
Vous êtes en plein courant d’air.,Mi ɖò jɔhɔn nu
se tenir loin,nɔ̀ zɔ̀
Ta femme se porte-t-elle bien ?,Asi we ɖo ɖagbe à ?
